DOMAIN	Agaricus_sinodeliciosus_ZRL20160001-S65	Alternaria_alstroemeriae_LH_A124	Alternaria_alternata_SRC1lrK2f	Alternaria_cf	Alternaria_gaisen_FERA_650	Amanita_bisporigera_Ingham01	Apiospora_malaysiana_STlab-iicb	Apiospora_sphaerosperma_JCM_6018	Apiotrichum_sp__PL3306B_PL3306B	Apophysomyces_elegans_B7760	Apophysomyces_sp__BC1034_BC1034	Arthrinium_puccinioides_CBS_549	Aspergillus_biplanus_NRRL_5071	Aspergillus_calidoustus	Aspergillus_creber_HOSP050413_5_135	Aspergillus_haitiensis_NRRL_4568	Aspergillus_hiratsukae_CNM-CM5793	Aspergillus_saccharolyticus_JOP_1030-1	Aspergillus_sp__R1430_R1430	Aspergillus_sp__S2109_S2109	Backusella_liffmaniae_UoMAU58	Bimuria_novae-zelandiae_CBS_107	Boletus_edulis_BED1	Brasilioporus_rufonigricans_G4407	Brettanomyces_anomalus_CBS_7654	Butyriboletus_appendiculatus_KM172029	Cadophora_luteo-olivacea_CBS_128576	Candida_gorgasii_NRRL_Y-27707	Candida_tsuchiyae_NRRL_Y-17840T	Candida_wancherniae_NRRL_Y-48709	Caulochytrium_protostelioides_ATCC_52028	Ceratobasidium_sp__394_394	Cercospora_apii_QCYBC	Cercospora_beticola_Cb09-40	Cladonia_rangiferina_SA24	Cladosporium_sp__TM138-S3_TM138-S3	Clarireedia_homoeocarpa_HRI11	Clarireedia_monteithiana_H7	Coemansia_sp__S17_S17	Coemansia_sp__S3946_S3946	Colletotrichum_sp__JS-367_JS-367	Colletotrichum_sp__SAR_10_66_SAR_10_66	Colletotrichum_tropicicola_FJ4	Colletotrichum_truncatum_CMES1059	Cristinia_sonorae_KKN_215	Cryptococcus_amylolentus_CBS_6039	Cumuliphoma_indica_HZGA79	Curvularia_papendorfii_UM_226	Cutaneotrichosporon_cyanovorans_JCM_31833	Diaporthe_sp__P3_1W_P3_1W	Didymella_exigua_CBS_183	Drechmeria_coniospora_ARSEF_6962	Drechslerella_coelobrocha_CGMCC_3	Elsinoe_ampelina_YL-1	Entomortierella_lignicola_Z_36	Erysiphe_pulchra_Cflorida	Esteya_vermicola_CBS_115803	Favolaschia_claudopus_CIRM-BRFM_2984	Fusarium_anthophilum_NRRL_25214	Fusarium_stilboides_NRRL_20429	Fusarium_udum_NRRL_25194	Fusarium_zanthoxyli_FZ001	Ganoderma_meredithae_FKI-L8-BK-PAB1	Garcileccinum_viscosum_NY1193956	Geotrichum_sp__CBS_16003_CBS_16003	Geranomyces_michiganensis_JEL0563	Golubevia_sp__BC0812_BC0812	Halenospora_varia_MPI-CAGE-AT-0135	Hanseniaspora_valbyensis_NRRL_Y-1626	Hortiboletus_campestris_MICH4999	Hypoxylon_sp__FL1857_FL1857	Kodamaea_leandrae_NRRL_Y-27757	Kodamaea_sagamina_JCM_10144	Komagataella_kurtzmanii_CBS_12817	Lactifluus_pinguis_MG27	Leccinum_obscurum_MICH11268	Lentinula_edodes_Le_Bin_0899_ss11	Massospora_cicadina_MCPNR19	Microbotryum_silenes-dioicae_1303	Monosporozyma_siamensis_NRRL_Y-48842	Mortierella_sp__GBA39_GBA39	Myxozyma_neotropica_NRRL_Y-17859	Naganishia_cerealis_MNA-CCFEE_5261	Naganishia_sp__IF7SW-B1_IF7SW-B1	Nannizziopsis_arthrosporioides_CBS_118890	Neonectria_coccinea_CBS_119158	Parengyodontium_torokii_FJII-L10-SW-P1	Pascua_guehoae_JCM_10690	Penicillium_concentricum_IBT_3081	Phlebiopsis_gigantea_11061_1_CR5-6	Pichia_nakasei_NRRL_Y-7686	Pleurotus_djamor_MPG-05	Polytolypa_hystricis_UAMH7299	Pseudevernia_furfuracea_Pfur_oli_TBG_2151	Pseudodiscina_melaleucoides_MICH352039	Pseudogymnoascus_sp__VKM_F-4515_VKM_F-4515	Pulchroboletus_neoregius_NY575842	Sarocladium_attenuatum_SA_17035	Schizosaccharomyces_japonicus_yFS275	Sclerotiophoma_versabilis_KC1	Simplicillium_sp__C3G150-2_C3G150-2	Spathaspora_sp__P7602_P7602	Sugiyamaella_qingdaonensis_CBS_11390	Talaromyces_atroroseus_IBT_11181	Talaromyces_piceae_9-3	Talaromyces_sp__R2412_PX1902	Thelonectria_rubi_CBS_177	Trametes_polyzona_CIRM-BRFM_1798	Tremella_fuciformis	Trigonopsis_californica_NRRL_Y-27307	Tylopilus_aff	Ustilago_esculenta_YD3	Ustilago_vetiveriae_RK_075	Wickerhamiella_qilinensis_CBS_13929	Xerocomus_spinulosus_UT-M0000341	Xylaria_sp__CBS_124048_CBS_124048
GH35(184-362)+GH35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GH133(1100-1559)+GH13_25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CE15(428-751)+PL1_2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GT15(188-328)+GT15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GH43_13(5-309)+CBM91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
GH133(1022-1483)+GH13_25(480-675)+GH13_25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
GT2_Chitin_synth_2(314-572)+GT2_Chitin_synth_2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GH43_28(58-320)+CBM32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GH43_14(7-308)+CBM91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GT2_Chitin_synth_2(346-579)+GT2_Chitin_synth_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
