Allomyces_arbusculus_Burma_1F	FA629528
Allomyces_javanicus_California_12	FAFF0595
Allomyces_macrogynus_ATCC_38327	F5BE82F7
Alternaria_alstroemeriae_LH_A124	F2942A61
Alternaria_alternarina_TB-1129	FF4CECA3
Alternaria_alternata_SRC1lrK2f	FB6C866B
Alternaria_angustiovoidea_FKII-L2-CM-DRAB1	F6B53C57
Alternaria_arborescens_FERA_675	FB55235A
Alternaria_arbusti_BMP_1465	F96AD419
Alternaria_atra_CS162	F2D1C788
Alternaria_brassicae_PNT	F117BA10
Alternaria_brassicicola_Abra43	F97FA254
Alternaria_burnsii_CBS107.38	F7FE95DA
Alternaria_cf._alternata_R-IC-06-P1	F2098371
Alternaria_conjuncta_BMP_0040	FA2481EA
Alternaria_consortialis_JCM_1940	F800F57A
Alternaria_dauci_CALB1	F3D7F7A0
Alternaria_destruens_LH_A593	F04CEBC8
Alternaria_ethzedia_BMP_0044	F9A5D186
Alternaria_gaisen_FERA_650	F0110190
Alternaria_gansuensis_LYZ1412	F8242868
Alternaria_hordeiaustralica_BMP_2776	FA1CD795
Alternaria_incomplexa_BMP_0042	F81EE144
Alternaria_infectoria_BMP_0036	FD741D79
Alternaria_longipes_CBS_540.94	FF09BD07
Alternaria_metachromatica_BMP_0045	FBE239EC
Alternaria_novae-zelandiae_BMP_2774	F54975D0
Alternaria_oregonensis_DAOMC238619	F58820BB
Alternaria_panax_BNCC115425	FCF6EAD3
Alternaria_porri_Apn-Nashik	F647A3C6
Alternaria_postmessia_BMP_2775	FBD32A45
Alternaria_rosae_MPI-PUGE-AT-0040	FF42A38D
Alternaria_solani_NL03003	F1B3B896
Alternaria_sp._Ai002NY15_Ai002NY15	F87F2AF1
Alternaria_sp._BMP_0032_BMP_0032	F7781614
Alternaria_sp._BMP_2799_BMP_2799	FCCE8A22
Alternaria_sp._DAOMC_225332_DAOMC225332	F8610448
Alternaria_sp._DET2042_DET2042	F91A6A25
Alternaria_sp._DET2072_DET2072	FD3283ED
Alternaria_sp._DET2103_DET2103	FADB3474
Alternaria_sp._DET2104_DET2104	F1EA0705
Alternaria_sp._DET2105_DET2105	F951F178
Alternaria_sp._DET2106_DET2106	FA709154
Alternaria_sp._DET2107_DET2107	FDEBC118
Alternaria_sp._KAS5446_KAS5446	F9E564E1
Alternaria_sp._KAS5449_KAS5449	F0141B12
Alternaria_sp._KAS5470_KAS5470	F88B0107
Alternaria_sp._KAS5474_KAS5474	F788DCCD
Alternaria_sp._KAS5477_KAS5477	F09002BB
Alternaria_sp._KAS5486_KAS5486	FD81CB66
Alternaria_sp._KAS5506_KAS5506	FE1D2668
Alternaria_sp._M3903_M3903	FDDE33B2
Alternaria_sp._M3908_M3908	F56D6058
Alternaria_sp._MG1_MG1	FF98C5DC
Alternaria_sp._S3601_S3601	F4111E08
Alternaria_sp._sect._Undifilum_W740-01	FF34768C
Alternaria_sp._SPS-2_SPS-2	F6EE621B
Alternaria_tenuissima_FERA_1166	F54CF363
